"tier","historical_url","product_intent","location","parent_money_hub","clicks","impressions","ctr","avg_position","gsc_action","gsc_evidence_class","master_map_decision","current_lifecycle","redirect_collision","gone_collision","duplicate_intent","release_readiness","notes"
"TIER_1_HIGH_EQUITY","/รับซื้อลำโพง-อุดรธานี/","SPEAKER","อุดรธานี","/รับซื้อลำโพง/","6","104","5.77%","9.49","B_PRESERVE_IMPROVE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","INDEX","NO","NO","NO","ALREADY_ACTIVE_INDEX","Survivor page already rewritten and released in Phase D"
"TIER_1_HIGH_EQUITY","/รับซื้อลำโพง-สารคาม/","SPEAKER","มหาสารคาม","/รับซื้อลำโพง/","4","28","14.29%","19.61","B_PRESERVE_IMPROVE","HIGH","Selected directly as canonical V2 public URL in IA","INDEX","NO","NO","NO","ALREADY_ACTIVE_INDEX","Survivor page already rewritten and released in Phase D"
"TIER_2_MODERATE_EQUITY","/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/","SPEAKER","ร้อยเอ็ด","/รับซื้อลำโพง/","5","36","13.89%","9.64","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_3_WEAK_BUT_STRATEGIC","/รับซื้อลำโพง-ยโสธร/","SPEAKER","ยโสธร","/รับซื้อลำโพง/","3","28","10.71%","9.50","A_PRESERVE_REWRITE","MEDIUM","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/","NOTEBOOK","อุบลราชธานี","/รับซื้อโน๊ตบุ๊ค/","75","973","7.71%","7.59","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-เลย/","NOTEBOOK","เลย","/รับซื้อโน๊ตบุ๊ค/","20","164","12.20%","9.34","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-บุรีรัม/","NOTEBOOK","บุรีรัมย์","/รับซื้อโน๊ตบุ๊ค/","20","240","8.33%","7.67","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/","NOTEBOOK","ชัยภูมิ","/รับซื้อโน๊ตบุ๊ค/","15","320","4.69%","8.23","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/","NOTEBOOK","อำเภอพล (ขอนแก่น)","/รับซื้อโน๊ตบุ๊ค/","15","206","7.28%","10.72","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-สกลนคร/","NOTEBOOK","สกลนคร","/รับซื้อโน๊ตบุ๊ค/","12","276","4.35%","9.07","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
