path,metricWindow,windowStart,windowEnd,clicks90d,impressions90d,position90d,clicksRecent,impressionsRecent,positionRecent,clicks12m,impressions12m,position12m,historicalClicksMaxKnown,sourceFile,sourceSheet
/รับซื้อเหล้าเก่า-รับซื้/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,73,1045,11.31,,,,,,,73,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อตู้แช่อุบลราชธา/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,39,522,8.93,,,,,,,39,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อเหล้า-เขตสายไหม/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,32,613,8.34,,,,,,,32,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อโทรศัพท์มือถือ-จ/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,25,746,9.13,,,,,,,25,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อมือถือใกล้ฉัน-อุ/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,24,508,7.72,,,,,,,24,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อมือถือใกล้ฉัน-ขอ/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,19,748,9.56,,,,,,,19,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อมือถือ-อุบล/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,19,435,12.67,,,,,,,19,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับจำนำศรีสะเกษ/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,18,337,11.53,,,,,,,18,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อตั๋วจำนำเมืองสุ/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,16,152,9.71,,,,,,,16,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับจำนำโน๊ตบุ๊คศรีสะเก/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,15,127,6.90,,,,,,,15,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อตั๋วจำนำกันทรลั/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,14,192,9.60,,,,,,,14,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
/รับซื้อเหล้าเฮนเนสซี่-hennessy/,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,13,158,10.70,,,,,,,13,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx,URL Actions Top 600
