path,clicks90d,impressions90d,position90d,contentCluster,planningRecommendation,currentState,p0Action,redirectTarget,priority,reason
/รับซื้อมือถือใกล้ฉัน-อุ/,24,508,7.72,iphone,C_301_CONSOLIDATE,REDIRECT,KEEP_ONE_HOP_301,/รับซื้อโทรศัพท์มือถือ-จ/,P0,P0: historical title identifies Udon Thani intent; consolidated one-hop to regional Isan mobile owner instead of the Ubon page.
/รับซื้อมือถือใกล้ฉัน-ขอ/,19,748,9.56,iphone,C_301_CONSOLIDATE,REDIRECT,KEEP_ONE_HOP_301,/รับซื้อโทรศัพท์มือถือ-จ/,P0,P0: historical Khon Kaen near-me mobile alias consolidated one-hop to the regional Isan mobile owner until a dedicated broad Khon Kaen mobile owner is released.
/contact/,,,,general,SYSTEM_CURRENT_ROUTE,INDEX,KEEP_INDEX,,P0,P0: promoted from HOLD_NOINDEX to INDEX so /ติดต่อเรา/ does not redirect to a noindex destination.
/รับซื้อ-apple-watch/,,,,iphone,SYSTEM_CURRENT_ROUTE,INDEX,KEEP_INDEX,,P0,P0: promoted from HOLD_NOINDEX to INDEX so historical near-me redirect equity lands on an indexable self-canonical owner.
/รับซื้อคอมประกอบ/,,,,pc,SYSTEM_CURRENT_ROUTE,INDEX,KEEP_INDEX,,P0,P0: promoted from HOLD_NOINDEX to INDEX so historical near-me redirect equity lands on an indexable self-canonical owner.
/รับซื้อสมาร์ทโฟน-android/,,,,android,SYSTEM_CURRENT_ROUTE,INDEX,KEEP_INDEX,,P0,P0: promoted from HOLD_NOINDEX to INDEX so historical near-me redirect equity lands on an indexable self-canonical owner.
/รับซื้อเครื่องเกม/,,,,gaming,SYSTEM_CURRENT_ROUTE,INDEX,KEEP_INDEX,,P0,P0: promoted from HOLD_NOINDEX to INDEX so historical near-me redirect equity lands on an indexable self-canonical owner.
/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,75,973,7.59,notebook,A_PRESERVE_REWRITE,INDEX,KEEP_INDEX,,P1,High-equity historical IT search winner; keep exact public URL and rewrite content
/รับซื้อเหล้าเก่า-รับซื้/,73,1045,11.31,off_topic,D_RETIRE,GONE,KEEP_410,,P1,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/รับซื้อคอม-อุดรธานี/,45,498,8.21,computer,A_PRESERVE_REWRITE,INDEX,KEEP_INDEX,,P1,High-equity historical IT search winner; keep exact public URL and rewrite content
/รับซื้อตู้แช่อุบลราชธา/,39,522,8.93,off_topic,D_RETIRE,UNREGISTERED,RETIRE_REVIEW,,P1,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/รับซื้อเหล้า-เขตสายไหม/,32,613,8.34,off_topic,D_RETIRE,GONE,KEEP_410,,P1,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/รับซื้อคอม-ขอนแก่น/,26,496,13.39,computer,A_PRESERVE_REWRITE,INDEX,KEEP_INDEX,,P1,High-equity historical IT search winner; keep exact public URL and rewrite content
