source,target,purpose
/รับซื้อโน๊ตบุ๊ค/,/รับซื้อโน๊ตบุ๊ค-บึงกาฬ/,historical local winner
/รับซื้อโน๊ตบุ๊ค/,/รับซื้อโน๊ตบุ๊ค-จังหวัด/,historical Nong Khai winner
/รับซื้อโน๊ตบุ๊ค/,/รับซื้อโน๊ตบุ๊ค-ศรีสะเ-2/,historical Sisaket winner
/รับซื้อโน๊ตบุ๊ค/,/เช็กราคาก่อนขาย/,support guide
/รับซื้อคอม/,/รับซื้อคอม-ศรีสะเกษ/,historical local winner
/รับซื้อคอม/,/รับซื้อคอม-สายไหม/,historical local winner
/รับซื้อคอม/,/เช็กราคาก่อนขาย/,support guide
/รับซื้อกล้อง/,/รับซื้อกล้องถ่ายรูปจัง/,historical Khon Kaen winner
/รับซื้อกล้อง/,/รับซื้อกล้องมือสอง-บริก/,remote-service support
/รับซื้อกล้อง/,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,brand support
/รับซื้อกล้อง/,/เช็กราคาก่อนขาย/,support guide
/รับซื้อแมคบุ๊ค/,/รับซื้อเมืองอุดรธานี/,Apple local hub
/รับซื้อแมคบุ๊ค/,/รับซื้อเมืองศรีสะเกษ/,Apple local hub
/รับซื้อแมคบุ๊ค/,/เช็กราคาก่อนขาย/,support guide
/รับซื้อไอโฟน/,/รับซื้อเมืองอุดรธานี/,Apple local hub
/รับซื้อไอโฟน/,/รับซื้อเมืองศรีสะเกษ/,Apple local hub
/รับซื้อไอโฟน/,/เช็กราคาก่อนขาย/,support guide
/รับซื้อไอแพด/,/รับซื้อไอแพด-อุบล/,historical local winner
/รับซื้อไอแพด/,/รับซื้อเมืองอุดรธานี/,Apple local hub
/รับซื้อไอแพด/,/รับซื้อเมืองศรีสะเกษ/,Apple local hub
/รับซื้อไอแพด/,/เช็กราคาก่อนขาย/,support guide
