path,clicks90d,impressions90d,position90d,legacyTitle,contentCluster,previousState,p1Action,finalState,redirectTarget,historicalRecommendation
/รับซื้อเมืองศรีสะเกษ/,9,183,8.74,"รับซื้อ MacBook, iMac , iPhone , iPad เมืองศรีสะเกษ ศรีสะเกษ",macbook,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อกล้องมือสอง-บริก/,8,140,26.64,รับซื้อกล้องมือสอง บริการรับซื้อถึงหน้าบ้าน ทั่วประเทศ ให้ราคาสูง,camera,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อกล้องถ่ายรูปจัง/,7,204,10.44,รับซื้อกล้องถ่ายรูปจังหวัดขอนแก่น | รับซื้อกล้อง ขอนแก่น,camera,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อคอม-ศรีสะเกษ/,7,99,9.83,UNKNOWN,computer,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อโน๊ตบุ๊ค-บึงกาฬ/,7,97,7.10,บึงกาฬ รับซื้อโน๊ตบุ๊ค สู้ทุกราคา บริการรับถึงที่ จ่ายสด ไม่กดราคา ปลอดภัย 100%,notebook,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อไอแพด-อุบล/,7,68,13.24,UNKNOWN,ipad,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อเมืองอุดรธานี/,6,64,9.84,"รับซื้อ MacBook, iMac , iPhone , iPad เมืองอุดรธานี อุดรธานี",macbook,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อโน๊ตบุ๊ค-จังหวัด/,6,95,8.47,รับซื้อโน๊ตบุ๊ค จังหวัดหนองคาย บริการรับซื้อถึงที่ ให้ราคาสูงที่สุด รับซื้อโน๊ตบุ๊คมือสอง,notebook,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,4,78,11.51,รับซื้อกล้อง Fujifilm ฟูจิฟิล์ม รับซื้อกล้องมือสอง ให้ราคาสูงที่สุด พร้อมรับถึงที่,camera,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อคอม-สายไหม/,4,35,9.37,UNKNOWN,computer,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
/รับซื้อโทรศัพท์-อุบล/,4,182,9.18,UNKNOWN,iphone,UNREGISTERED_OR_PRIVATE,ONE_HOP_301,REDIRECT,/รับซื้อมือถือ-อุบล/,A_PRESERVE_REWRITE
/รับซื้อโน๊ตบุ๊ค-notebook/,4,102,40.28,UNKNOWN,notebook,UNREGISTERED_OR_PRIVATE,ONE_HOP_301,REDIRECT,/รับซื้อโน๊ตบุ๊ค/,A_PRESERVE_REWRITE
/รับซื้อโน๊ตบุ๊ค-ศรีสะเ-2/,4,70,7.07,รับซื้อโน๊ตบุ๊ค ศรีสะเกษ,notebook,UNREGISTERED_OR_PRIVATE,EXACT_REBUILD_INDEX,INDEX,,A_PRESERVE_REWRITE
