source,target,relationship
/รับซื้อกล้อง-sony/,/รับซื้อกล้อง/,parent-owner
/รับซื้อกล้อง-sony/,/รับซื้อกล้อง/,curated-related
/รับซื้อกล้อง-sony/,/รับซื้อกล้อง-sony-a7/,curated-related
/รับซื้อกล้อง-sony/,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,curated-related
/รับซื้อกล้อง-sony/,/สภาพสินค้า/จอแตก/,curated-related
/รับซื้อกล้อง-sony/,/เช็กราคาก่อนขาย/,curated-related
/รับซื้อกล้อง-canon/,/รับซื้อกล้อง/,parent-owner
/รับซื้อกล้อง-canon/,/รับซื้อกล้อง/,curated-related
/รับซื้อกล้อง-canon/,/รับซื้อกล้อง-nikon/,curated-related
/รับซื้อกล้อง-canon/,/รับซื้อกล้อง-sony/,curated-related
/รับซื้อกล้อง-canon/,/สภาพสินค้า/เปิดไม่ติด/,curated-related
/รับซื้อกล้อง-canon/,/เช็กราคาก่อนขาย/,curated-related
/รับซื้อกล้อง-nikon/,/รับซื้อกล้อง/,parent-owner
/รับซื้อกล้อง-nikon/,/รับซื้อกล้อง/,curated-related
/รับซื้อกล้อง-nikon/,/รับซื้อกล้อง-canon/,curated-related
/รับซื้อกล้อง-nikon/,/รับซื้อกล้อง-sony/,curated-related
/รับซื้อกล้อง-nikon/,/สภาพสินค้า/ไม่มีอุปกรณ์/,curated-related
/รับซื้อกล้อง-nikon/,/เช็กราคาก่อนขาย/,curated-related
/รับซื้อกล้อง-sony-a7/,/รับซื้อกล้อง-sony/,parent-owner
/รับซื้อกล้อง-sony-a7/,/รับซื้อกล้อง-sony/,curated-related
/รับซื้อกล้อง-sony-a7/,/รับซื้อกล้อง/,curated-related
/รับซื้อกล้อง-sony-a7/,/สภาพสินค้า/จอแตก/,curated-related
/รับซื้อกล้อง-sony-a7/,/สภาพสินค้า/เปิดไม่ติด/,curated-related
/รับซื้อกล้อง-sony-a7/,/เช็กราคาก่อนขาย/,curated-related
/รับซื้อโน๊ตบุ๊ค-asus/,/รับซื้อโน๊ตบุ๊ค/,parent-owner
/รับซื้อโน๊ตบุ๊ค-asus/,/รับซื้อโน๊ตบุ๊ค/,curated-related
/รับซื้อโน๊ตบุ๊ค-asus/,/รับซื้อโน๊ตบุ๊ค-lenovo/,curated-related
/รับซื้อโน๊ตบุ๊ค-asus/,/สภาพสินค้า/แบตเสื่อม/,curated-related
/รับซื้อโน๊ตบุ๊ค-asus/,/สภาพสินค้า/จอแตก/,curated-related
/รับซื้อโน๊ตบุ๊ค-asus/,/เช็กราคาก่อนขาย/,curated-related
/รับซื้อโน๊ตบุ๊ค-lenovo/,/รับซื้อโน๊ตบุ๊ค/,parent-owner
/รับซื้อโน๊ตบุ๊ค-lenovo/,/รับซื้อโน๊ตบุ๊ค/,curated-related
/รับซื้อโน๊ตบุ๊ค-lenovo/,/รับซื้อโน๊ตบุ๊ค-dell/,curated-related
/รับซื้อโน๊ตบุ๊ค-lenovo/,/สภาพสินค้า/แบตเสื่อม/,curated-related
/รับซื้อโน๊ตบุ๊ค-lenovo/,/สภาพสินค้า/ไม่มีอุปกรณ์/,curated-related
/รับซื้อโน๊ตบุ๊ค-lenovo/,/เช็กราคาก่อนขาย/,curated-related
/รับซื้อโน๊ตบุ๊ค-acer/,/รับซื้อโน๊ตบุ๊ค/,parent-owner
/รับซื้อโน๊ตบุ๊ค-acer/,/รับซื้อโน๊ตบุ๊ค/,curated-related
