path,url,role,historicalWindowStart,historicalWindowEnd,historicalClicks90d,historicalImpressions90d,historicalPosition90d,releaseBaselineDate,currentClicks,currentImpressions,currentCtr,currentPosition,currentGscStatus,notes
/,https://xn--c3c3a0aa6cvaf8b9dze.com/,HOME,2026-04-07,2026-07-06,4,170,24.94,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อ/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อ/,CORE_HUB,2026-04-07,2026-07-06,0,15,19.00,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อโน๊ตบุ๊ค/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อโน๊ตบุ๊ค/,CORE_MONEY,2026-04-07,2026-07-06,4,330,22.68,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อคอม/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อคอม/,CORE_MONEY,2026-04-07,2026-07-06,1,63,15.19,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อแมคบุ๊ค/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อแมคบุ๊ค/,CORE_MONEY,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,No historical metrics; start clean post-deploy observation series
/รับซื้อไอโฟน/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อไอโฟน/,CORE_MONEY,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,No historical metrics; start clean post-deploy observation series
/รับซื้อไอแพด/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อไอแพด/,CORE_MONEY,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,No historical metrics; start clean post-deploy observation series
/รับซื้อกล้อง/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อกล้อง/,CORE_MONEY,2026-04-07,2026-07-06,2,57,28.75,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/เช็กราคาก่อนขาย/,https://xn--c3c3a0aa6cvaf8b9dze.com/เช็กราคาก่อนขาย/,VALUATION_HUB,2026-04-07,2026-07-06,0,5,6.00,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/ความน่าเชื่อถือ/,https://xn--c3c3a0aa6cvaf8b9dze.com/ความน่าเชื่อถือ/,TRUST,2026-04-07,2026-07-06,0,0,0.00,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/เกี่ยวกับเรา/,https://xn--c3c3a0aa6cvaf8b9dze.com/เกี่ยวกับเรา/,TRUST,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,No historical metrics; start clean post-deploy observation series
/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,HISTORICAL_WINNER,2026-04-07,2026-07-06,75,973,7.59,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อคอม-อุดรธานี/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อคอม-อุดรธานี/,HISTORICAL_WINNER,2026-04-07,2026-07-06,45,498,8.21,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อคอม-ขอนแก่น/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อคอม-ขอนแก่น/,HISTORICAL_WINNER,2026-04-07,2026-07-06,26,496,13.39,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อโทรศัพท์มือถือ-จ/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อโทรศัพท์มือถือ-จ/,HISTORICAL_WINNER,2026-04-07,2026-07-06,25,746,9.13,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,HISTORICAL_WINNER,2026-04-07,2026-07-06,20,240,7.67,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อมือถือ-อุบล/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อมือถือ-อุบล/,HISTORICAL_WINNER,2026-04-07,2026-07-06,19,435,12.67,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อโน๊ตบุ๊ค-asus/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อโน๊ตบุ๊ค-asus/,BRAND_SERIES_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อโน๊ตบุ๊ค-lenovo/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อโน๊ตบุ๊ค-lenovo/,BRAND_SERIES_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อกล้อง-sony/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อกล้อง-sony/,BRAND_SERIES_SUPPORT,2026-04-07,2026-07-06,2,19,19.16,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อกล้อง-canon/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อกล้อง-canon/,BRAND_SERIES_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อ-macbook-air/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อ-macbook-air/,BRAND_SERIES_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/รับซื้อ-iphone-13/,https://xn--c3c3a0aa6cvaf8b9dze.com/รับซื้อ-iphone-13/,BRAND_SERIES_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/สภาพสินค้า/แบตเสื่อม/,https://xn--c3c3a0aa6cvaf8b9dze.com/สภาพสินค้า/แบตเสื่อม/,CONDITION_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
/สภาพสินค้า/จอแตก/,https://xn--c3c3a0aa6cvaf8b9dze.com/สภาพสินค้า/จอแตก/,CONDITION_SUPPORT,,,,,,TBD_AFTER_SUCCESSFUL_DEPLOY,,,,,REQUIRES_POST_DEPLOY_GSC_EXPORT,Historical metrics retained only; do not treat as current performance
