path,legacyTitle,pageType,contentCluster,metricWindow,windowStart,windowEnd,clicks90d,impressions90d,position90d,historicalClicksMaxKnown,urlEquityScore,businessPriorityScore,planningRecommendation,activeMigrationState,proposedFinalAction,activeRedirectTarget,survivorDecision,evidenceSource,reason
/,UNKNOWN,HOME,core,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,4,170,24.94,4,95,35,B_PRESERVE_IMPROVE,ACTIVE_INDEX_200,MAINTAIN_ACTIVE_INDEX,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Active approved V2 INDEX route with verified content foundation
/10-อันดับ-กล้อง-fujifilm-ในตลาดมือ/,UNKNOWN,MONEY_HUB,camera,UNKNOWN,,,,,,,10,85,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,NONE+NONE,Zero search equity thin duplicate post
/2024/01/page/2/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/2025/03/page/2/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/5/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/59/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/60/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/62/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/63/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/64/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/author/admin/page/65/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
/buy-camera-bungkan/,UNKNOWN,MONEY_HUB,camera,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,2,43,11.70,2,50,85,C_301_CONSOLIDATE,UNREGISTERED_OR_PRIVATE,PROPOSED_301_CONSOLIDATION,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Legacy English URL alias proposed for consolidation into Thai category hub
/buy-camera-chaiyaphum/,UNKNOWN,MONEY_HUB,camera,UNKNOWN,,,,,,,10,85,C_301_CONSOLIDATE,UNREGISTERED_OR_PRIVATE,PROPOSED_301_CONSOLIDATION,,NONE,NONE+NONE,Legacy English URL alias proposed for consolidation into Thai category hub
/buy-camera-mahasarakam/,รับซื้อกล้องมือสอง มหาสารคาม รับซื้อกล้อง เลนส์ และอุปกรณ์ถ่ายรูปอื่นๆ,MONEY_HUB,camera,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,1,30,7.57,1,60,85,C_301_CONSOLIDATE,UNREGISTERED_OR_PRIVATE,PROPOSED_301_CONSOLIDATION,,REBUILD_INDEX,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+redirects,Legacy English URL alias proposed for consolidation into Thai category hub
/buy-camera-mukdahan/,UNKNOWN,MONEY_HUB,camera,UNKNOWN,,,,,,,10,85,C_301_CONSOLIDATE,UNREGISTERED_OR_PRIVATE,PROPOSED_301_CONSOLIDATION,,NONE,NONE+NONE,Legacy English URL alias proposed for consolidation into Thai category hub
/buy-camera-nakonpanom/,UNKNOWN,MONEY_HUB,camera,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,1,13,6.92,1,60,85,C_301_CONSOLIDATE,UNREGISTERED_OR_PRIVATE,PROPOSED_301_CONSOLIDATION,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Legacy English URL alias proposed for consolidation into Thai category hub
/buy-camera-nakonpanom/feed/,UNKNOWN,ARCHIVE,archive,90_DAYS_PERFORMANCE_EXPORT,2026-04-07,2026-07-06,0,0,0.00,0,20,0,D_RETIRE,UNREGISTERED_OR_PRIVATE,FUTURE_RETIREMENT_APPROVAL_REQUIRED,,NONE,docs/gsc/rerubsue_gsc_recovery_plan_2026-07-06.xlsx+NONE,Off-topic legacy niche (alcohol / pawn / home appliance) or thin archive
