iaNode,cluster,pageType,role,primaryIntent,chosenV2Path,pathOrigin,historicalSourcePath,urlEquityClass,metricWindow,clicks90d,impressions90d,position90d,businessPriority,oldPathAction,redirectTarget,contentStatus,plannedIndexState,parentDependency,dependencyReady,releaseAfter,confidence
CORE_HOME,core,HOME,HOME,general_buyback_authority,/,HISTORICAL_PRESERVED,/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,4,170,24.94,HIGH,KEEP_HISTORICAL_URL,,READY,INDEX,NONE,READY,NOW_ACTIVE,HIGH
CORE_BUY_HUB,core,MONEY_HUB,MONEY_HUB,commercial_all_categories,/รับซื้อ/,HISTORICAL_PRESERVED,/รับซื้อ/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,0,15,19.00,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,HIGH
CORE_PRICE_CHECK,valuation,VALUATION_GUIDE,VALUATION_GUIDE,valuation_intake_decision_hub,/เช็กราคาก่อนขาย/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,90_DAYS_PERFORMANCE_EXPORT,0,5,6.00,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,HIGH
CORE_HOW_TO_SELL,guide,HOW_TO,HOW_TO,selling_process_flow,/วิธีขาย/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,HIGH
CORE_ABOUT,trust,TRUST,TRUST,brand_identity_transparency,/เกี่ยวกับ/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,HIGH
CORE_CONTACT,trust,TRUST,TRUST,contact_channels,/ติดต่อ/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,HIGH
TRUST_PROOF,trust,TRUST,TRUST,trust_transparency_proof,/ผลงาน/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_ABOUT,PENDING,CORE_ABOUT,HIGH
MONEY_NOTEBOOK,notebook,MONEY_HUB,MONEY_HUB,commercial_notebook_buyback,/รับซื้อโน๊ตบุ๊ค/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,4,330,22.68,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_COMPUTER,computer,MONEY_HUB,MONEY_HUB,commercial_pc_buyback,/รับซื้อคอม/,HISTORICAL_PRESERVED,/รับซื้อคอม/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,1,63,15.19,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_MACBOOK,macbook,MONEY_HUB,MONEY_HUB,commercial_macbook_buyback,/รับซื้อแมคบุ๊ค/,HISTORICAL_PRESERVED,/รับซื้อแมคบุ๊ค/,B_PRESERVE_IMPROVE,NONE,,,,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_IPHONE,iphone,MONEY_HUB,MONEY_HUB,commercial_iphone_buyback,/รับซื้อไอโฟน/,HISTORICAL_PRESERVED,/รับซื้อไอโฟน/,B_PRESERVE_IMPROVE,NONE,,,,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_IPAD,ipad,MONEY_HUB,MONEY_HUB,commercial_ipad_buyback,/รับซื้อไอแพด/,HISTORICAL_PRESERVED,/รับซื้อไอแพด/,B_PRESERVE_IMPROVE,NONE,,,,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_CAMERA,camera,MONEY_HUB,MONEY_HUB,commercial_camera_buyback,/รับซื้อกล้อง/,HISTORICAL_PRESERVED,/รับซื้อกล้อง/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,2,57,28.75,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_SPEAKER,audio,MONEY_HUB,MONEY_HUB,commercial_speaker_buyback,/รับซื้อลำโพง/,HISTORICAL_PRESERVED,/รับซื้อลำโพง/,B_PRESERVE_IMPROVE,NONE,,,,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_SCRAP,enterprise_scrap,MONEY_HUB,MONEY_HUB,commercial_scrap_pc_buyback,/รับซื้อซากคอมพิวเตอร์/,HISTORICAL_PRESERVED,/รับซื้อซากคอมพิวเตอร์/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,15,164,20.39,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,HIGH
MONEY_SERVER,enterprise_scrap,MONEY_HUB,MONEY_HUB,commercial_server_buyback,/รับซื้อ-server/,HISTORICAL_PRESERVED,/รับซื้อ-server/,A_PRESERVE_REWRITE,NONE,,,,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_SCRAP,PENDING,MONEY_SCRAP,HIGH
MODEL_CAMERA_FUJI,camera,MODEL_MONEY,MODEL_MONEY,model_camera_fujifilm,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,HISTORICAL_PRESERVED,/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,4,78,11.51,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,HIGH
LOCAL_SPEAKER_UDON,audio,LOCAL_MONEY,LOCAL_MONEY,local_speaker_udon,/รับซื้อลำโพง-อุดรธานี/,HISTORICAL_PRESERVED,/รับซื้อลำโพง-อุดรธานี/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,6,104,9.49,HIGH,KEEP_HISTORICAL_URL,,READY,INDEX,MONEY_SPEAKER,READY,NOW_ACTIVE,HIGH
LOCAL_SPEAKER_SARAKHAM,audio,LOCAL_MONEY,LOCAL_MONEY,local_speaker_sarakham,/รับซื้อลำโพง-สารคาม/,HISTORICAL_PRESERVED,/รับซื้อลำโพง-สารคาม/,B_PRESERVE_IMPROVE,90_DAYS_PERFORMANCE_EXPORT,4,28,19.61,HIGH,KEEP_HISTORICAL_URL,,READY,INDEX,MONEY_SPEAKER,READY,NOW_ACTIVE,HIGH
LOCAL_SPEAKER_ROIET,audio,LOCAL_MONEY,LOCAL_MONEY,local_speaker_roiet,/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/,HISTORICAL_PRESERVED,/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,5,36,9.64,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_SPEAKER,PENDING,MONEY_SPEAKER,HIGH
LOCAL_SPEAKER_YASOTHON,audio,LOCAL_MONEY,LOCAL_MONEY,local_speaker_yasothon,/รับซื้อลำโพง-ยโสธร/,HISTORICAL_PRESERVED,/รับซื้อลำโพง-ยโสธร/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,3,28,9.50,MEDIUM,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_SPEAKER,PENDING,MONEY_SPEAKER,HIGH
LOCAL_NOTEBOOK_UBON,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_ubon,/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,75,973,7.59,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_LOEI,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_loei,/รับซื้อโน๊ตบุ๊ค-เลย/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-เลย/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,20,164,9.34,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_BURIRAM,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_buriram,/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,20,240,7.67,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_CHAIYAPHUM,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_chaiyaphum,/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,15,320,8.23,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_PHON,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_phon,/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,HISTORICAL_PRESERVED,/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,15,206,10.72,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
